TIME(MS),COMMAND,VALUE
-12856.0,5      ,1    
1498.0  ,5      ,0    
2508.0  ,5      ,1    
2508.0  ,5      ,0    
3460.0  ,5      ,1    
3460.0  ,5      ,0    
4586.0  ,5      ,1    
4586.0  ,5      ,0    
5689.0  ,5      ,1    
5689.0  ,5      ,0    
6177.0  ,5      ,1    
6177.0  ,5      ,0    
7024.0  ,5      ,1    
7024.0  ,5      ,0    
7570.0  ,5      ,1    
7570.0  ,5      ,0    
8905.0  ,5      ,1    
8905.0  ,5      ,0    
9323.0  ,5      ,1    
9323.0  ,5      ,0    
9776.0  ,5      ,1    
9776.0  ,5      ,0    
10867.0 ,5      ,1    
10867.0 ,5      ,0    
11355.0 ,5      ,1    
11355.0 ,5      ,0    
11831.0 ,5      ,1    
11831.0 ,5      ,0    
13003.0 ,5      ,1    
13003.0 ,5      ,0    
13839.0 ,5      ,1    
13839.0 ,5      ,0    
14396.0 ,5      ,1    
14396.0 ,5      ,0    
14896.0 ,5      ,1    
14896.0 ,5      ,0    
15523.0 ,5      ,1    
15523.0 ,5      ,0    
17113.0 ,5      ,1    
17113.0 ,5      ,0    
17601.0 ,5      ,1    
17601.0 ,5      ,0    
18042.0 ,5      ,1    
18042.0 ,5      ,0    
19180.0 ,5      ,1    
19180.0 ,5      ,0    
20155.0 ,5      ,1    
20155.0 ,5      ,0    
21374.0 ,5      ,1    
21374.0 ,5      ,0    
22233.0 ,5      ,1    
22233.0 ,5      ,0    
23394.0 ,5      ,1    
23394.0 ,5      ,0    
23951.0 ,5      ,1    
25008.0 ,5      ,0    
25108.0 ,END    ,1    
