TIME(MS),COMMAND,VALUE
-20000.0,5      ,1    
0.0     ,5      ,0    
1602.0  ,5      ,1    
2891.0  ,5      ,0    
7140.0  ,5      ,1    
7593.0  ,5      ,0    
8313.0  ,5      ,1    
8313.0  ,5      ,0    
9067.0  ,5      ,1    
9067.0  ,5      ,0    
9973.0  ,5      ,1    
9973.0  ,5      ,0    
10588.0 ,5      ,1    
10588.0 ,5      ,0    
11088.0 ,5      ,1    
11088.0 ,5      ,0    
11726.0 ,5      ,1    
11726.0 ,5      ,0    
12446.0 ,5      ,1    
12446.0 ,5      ,0    
12794.0 ,5      ,1    
12794.0 ,5      ,0    
13375.0 ,5      ,1    
13375.0 ,5      ,0    
14338.0 ,5      ,1    
14338.0 ,5      ,0    
15081.0 ,5      ,1    
15081.0 ,5      ,0    
16567.0 ,5      ,1    
16567.0 ,5      ,0    
17206.0 ,5      ,1    
17206.0 ,5      ,0    
17810.0 ,5      ,1    
17810.0 ,5      ,0    
18402.0 ,5      ,1    
18402.0 ,5      ,0    
19064.0 ,5      ,1    
19064.0 ,5      ,0    
19164.0 ,END    ,1    
