TIME(MS),COMMAND,VALUE
1138.0  ,5      ,1    
1138.0  ,5      ,0    
1683.0  ,5      ,1    
1683.0  ,5      ,0    
2276.0  ,5      ,1    
2276.0  ,5      ,0    
2798.0  ,5      ,1    
2798.0  ,5      ,0    
3367.0  ,5      ,1    
3367.0  ,5      ,0    
3971.0  ,5      ,1    
3971.0  ,5      ,0    
4540.0  ,5      ,1    
4540.0  ,5      ,0    
5097.0  ,5      ,1    
5097.0  ,5      ,0    
5573.0  ,5      ,1    
5573.0  ,5      ,0    
6142.0  ,5      ,1    
6142.0  ,5      ,0    
6711.0  ,5      ,1    
6711.0  ,5      ,0    
7326.0  ,5      ,1    
7326.0  ,5      ,0    
7895.0  ,5      ,1    
7895.0  ,5      ,0    
8487.0  ,5      ,1    
8487.0  ,5      ,0    
9067.0  ,5      ,1    
9067.0  ,5      ,0    
9636.0  ,5      ,1    
9636.0  ,5      ,0    
10205.0 ,5      ,1    
10205.0 ,5      ,0    
10786.0 ,5      ,1    
10786.0 ,5      ,0    
11355.0 ,5      ,1    
11355.0 ,5      ,0    
11912.0 ,5      ,1    
11912.0 ,5      ,0    
12504.0 ,5      ,1    
12504.0 ,5      ,0    
13073.0 ,5      ,1    
13073.0 ,5      ,0    
13688.0 ,5      ,1    
13688.0 ,5      ,0    
14234.0 ,5      ,1    
14234.0 ,5      ,0    
14768.0 ,5      ,1    
14768.0 ,5      ,0    
15372.0 ,5      ,1    
15372.0 ,5      ,0    
15999.0 ,5      ,1    
15999.0 ,5      ,0    
16533.0 ,5      ,1    
16533.0 ,5      ,0    
17113.0 ,5      ,1    
17113.0 ,5      ,0    
17798.0 ,5      ,1    
17798.0 ,5      ,0    
18309.0 ,5      ,1    
18309.0 ,5      ,0    
18855.0 ,5      ,1    
18855.0 ,5      ,0    
19423.0 ,5      ,1    
19423.0 ,5      ,0    
20027.0 ,5      ,1    
20027.0 ,5      ,0    
20596.0 ,5      ,1    
20596.0 ,5      ,0    
21153.0 ,5      ,1    
21153.0 ,5      ,0    
21757.0 ,5      ,1    
21757.0 ,5      ,0    
22489.0 ,5      ,1    
22489.0 ,5      ,0    
22589.0 ,END    ,1    
